Category,Error,PlainEnglishMeaning,HowToFix,CommonCauses,TodoChecklist
Database,Loading too much data into memory,The app loads more data than necessary.,"Paginate, stream, or fetch selectively.",Large datasets|No limits|Poor caching|Images loaded eagerly|Database misuse,Measure memory|Add pagination|Lazy load data|Profile allocations|Retest
Networking,Ignoring HTTP status codes,The app assumes every response succeeded.,Validate response codes before processing data.,Only checking errors|API assumptions|Incomplete networking layer|Prototype code|Copy-paste,Inspect status codes|Handle failures|Add retry rules|Test bad responses|Document behavior
Networking,No request cancellation,Network tasks continue after they are no longer needed.,Cancel requests when appropriate.,Leaving screens|Search autocomplete|Long downloads|Missing task ownership|Poor lifecycle handling,Track tasks|Cancel on disappear|Use URLSession cancellation|Test navigation|Profile
Networking,Retry storm,The app repeatedly retries failing requests too aggressively.,Use controlled retry policies.,No backoff|Server outage|Infinite retries|Network instability|Poor error handling,Add exponential backoff|Limit retries|Respect server responses|Log failures|Test outages
Performance,Unnecessary object allocation in loops,Objects are repeatedly created when reuse is possible.,Move creation outside loops or cache objects.,Formatters|Images|Temporary arrays|Expensive constructors|Copy-paste,Profile allocations|Move initialization|Reuse objects|Benchmark|Retest
Performance,Blocking the main thread with synchronous work,The UI freezes because work happens during rendering.,Move expensive work away from the main thread.,Large computation|File loading|Network wait|Database calls|Image processing,Use Instruments|Find blocking calls|Move work async|Measure frame rate|Retest
Performance,Excessive logging in production,Logging creates unnecessary overhead and may expose data.,Reduce or control production logs.,Debug statements|Verbose networking logs|Large payload logging|Prototype code|Forgot cleanup,Review logs|Remove sensitive data|Use log levels|Measure impact|Retest
Performance,Memory spikes during image processing,Large images consume excessive memory.,"Resize, downsample, or stream images.",Loading originals|Multiple copies|No caching|High resolution assets|Poor lifecycle handling,Profile memory|Downsample images|Release unused objects|Use caching carefully|Retest
Architecture,Singleton overuse,Too many global shared objects make code hard to test and maintain.,Use dependency injection or smaller scoped objects.,Convenience|Quick prototypes|Global state|Legacy design|Shared managers,Identify singletons|Replace with injected dependencies|Add protocols|Write tests|Refactor gradually
Architecture,Tight coupling,Components depend heavily on concrete implementations.,Introduce abstractions and dependency boundaries.,Direct references|Large classes|No protocols|Shared state|Legacy code,Identify dependencies|Create interfaces|Inject dependencies|Write tests|Refactor
Architecture,Missing separation of concerns,One component handles unrelated responsibilities.,Split responsibilities into focused components.,Large controllers|Mixed UI/business logic|Database in views|Networking in models|Rapid development,Identify responsibilities|Extract layers|Improve naming|Add tests|Refactor incrementally
Architecture,Circular dependency between modules,Two modules require each other and cannot evolve independently.,Redesign module boundaries.,Poor layering|Shared utilities|Cross-imports|Large feature modules|Refactoring,Map dependencies|Extract shared interfaces|Move common code|Remove cycles|Rebuild
Testing,Flaky test,A test sometimes passes and sometimes fails.,Remove timing assumptions and external dependencies.,Race conditions|Network use|Shared state|Random data|Timing issues,Run repeatedly|Identify nondeterminism|Mock dependencies|Control timing|Fix isolation
Testing,Test depends on execution order,Tests only pass because another test ran first.,Make each test independent.,Shared state|Global variables|Persistent data|Poor cleanup|Singletons,Reset state|Improve setup/teardown|Remove dependencies|Run randomized order|Retest
Testing,Insufficient test coverage,Important code paths are not tested.,Add tests for missing behavior.,New features|Complex logic|No test strategy|Legacy code|Time pressure,Identify risky code|Add unit tests|Test edge cases|Measure coverage|Maintain tests
Documentation,Missing documentation comment,Public code lacks explanation.,Add clear documentation.,Public APIs|Library code|Team standards|Complex behavior|New features,Identify public APIs|Write usage examples|Explain parameters|Update docs|Review
Documentation,Outdated documentation,Documentation no longer matches behavior.,Update docs with current implementation.,API changes|Refactoring|Old examples|Feature changes|No review process,Compare docs and code|Update examples|Remove outdated notes|Review with users|Publish updates
Imports,No such module 'Swfit',The imported framework or module name does not exist.,Correct the import name or add the missing dependency.,Typo in import|Framework not installed|Wrong package name|Removed dependency|Wrong target,Check spelling|Verify available modules|Add dependency if needed|Check target settings|Rebuild
Imports,No such module 'Foundatione',The compiler cannot find the requested module.,Fix the module name or add the required framework.,Typo|Wrong framework name|Missing dependency|Incorrect SDK|Old code,Check import spelling|Search framework names|Verify SDK availability|Rebuild|Clean project
Syntax,Expected expression after operator,An operator exists without a value to operate on.,Complete the expression or remove the operator.,Missing operand|Incomplete statement|Deleted code|Typing mistake|Merge conflict,Inspect the line before the error|Complete the expression|Remove unused operators|Check recent changes|Rebuild
Syntax,Expected declaration after class name,A class declaration is incomplete.,Add braces and class contents.,Missing class body|Missing inheritance syntax|Deleted code|Brace mismatch|Parser confusion,Add class braces|Check class syntax|Fix earlier parser errors|Format code|Compile
Syntax,Expected '{' in class declaration,A class or struct declaration was not opened correctly.,Add the missing opening brace.,Forgot brace|Malformed declaration|Copy error|Parser confusion|Incomplete code,Match braces|Check declaration line|Use formatter|Fix earlier syntax errors|Compile
Syntax,Extraneous '}' at top level,A closing brace exists without a matching opening brace.,Remove the extra brace or restore the missing block.,Deleted opening brace|Bad merge|Copy-paste|Formatting issue|Nested block error,Match braces|Inspect surrounding code|Use editor highlighting|Fix from first syntax error|Compile
Syntax,Multiple statements on a line must be separated by ';',Swift found multiple statements where the syntax is unclear.,Separate statements properly or put them on separate lines.,Missing newline|Missing operator|Malformed code|Copy-paste|Parser confusion,Split statements|Format code|Check punctuation|Fix earlier errors|Compile
Classes & Structs,Superclass 'X' has no accessible initializer,The subclass cannot call the superclass initializer.,Add or use an accessible superclass initializer.,Superclass initializer missing|Access control|Wrong superclass|Framework class restriction|Inheritance mistake,Inspect superclass init methods|Check access levels|Create required initializer|Use correct superclass|Rebuild
Classes & Structs,Cannot use 'super' outside class inheritance,super was used where there is no superclass.,Remove super usage or inherit correctly.,Struct using super|Class missing inheritance|Copy-paste|Wrong design|Syntax mistake,Check type declaration|Remove super calls|Add inheritance if intended|Compile|Retest
Classes & Structs,Class 'X' has no initializers,A class has stored properties but Swift cannot create it.,Provide an initializer or default values.,Missing init|Properties without defaults|Incomplete class|Refactoring|Required properties,List stored properties|Add init|Add defaults|Compile|Test creation
Classes & Structs,Struct cannot inherit from class,Structs cannot subclass classes.,Use a class or remove inheritance.,Wrong type choice|Java/C# assumptions|Copy-paste|Design mistake|Refactoring,Decide value vs reference semantics|Convert to class if needed|Remove inheritance|Retest|Compile
Protocols,Protocol requires nested type 'X',A protocol requires an associated type or nested declaration.,Provide the required type.,Missing associated type|Incorrect conformance|Generic confusion|Protocol misuse|API mismatch,Read protocol requirements|Add typealias if needed|Implement requirement|Compile|Test
Protocols,Protocol requirement initializer 'init' cannot be satisfied,A required initializer is missing or incorrectly declared.,Implement the required initializer.,Missing required init|Wrong access level|Wrong signature|Class inheritance|Protocol conformance,Compare initializer signatures|Add required init|Fix visibility|Compile|Test
Enums,Enum with raw type cannot have associated values,The enum mixes incompatible declaration styles.,Remove the raw value or associated values.,Incorrect enum design|Copied code|Misunderstood syntax|Refactoring|API mismatch,Inspect enum cases|Choose raw values or associated values|Redesign enum|Compile|Test
Enums,Raw value for enum case must be literal,Enum raw values must be compile-time values.,Replace with a literal value.,Variable raw value|Function call|Expression|Dynamic data|Syntax mistake,Use literal values|Move logic elsewhere|Compile|Review enum design
Collections,Cannot convert value of type '[X]' to expected argument type '[Y]',The collection contains the wrong element type.,Convert the elements or change the expected type.,Mixed array types|Wrong generic|API mismatch|Inference issue|Refactoring,Inspect element types|Map values if needed|Check function signature|Compile|Test
Collections,Missing argument label 'contentsOf:' in call,The collection initializer requires a parameter label.,Add the required label.,Wrong initializer|API misunderstanding|Old Swift syntax|Autocomplete issue|Copy-paste,Check initializer signature|Use autocomplete|Add label|Compile|Retest
Operators,Cannot assign value of type 'X' to type 'Bool',A condition or comparison received a non-Boolean value.,Use a Boolean expression.,Assignment used as comparison|Wrong return type|Type confusion|API mismatch|Typo,Inspect condition|Use comparison operators|Check return types|Compile|Test
Operators,Operator is not a known binary operator,Swift does not recognize the operator being used.,Use a valid operator or define one.,Typo|Custom operator missing|Wrong language syntax|Copy-paste|Unicode issue,Check operator spelling|Search definitions|Replace with standard operator|Compile|Test
Casting,'as!' cast failed,A forced type conversion failed at runtime.,Use the correct type or conditional casting.,Wrong object type|Storyboard mismatch|Bad assumption|Inheritance mistake|API change,Inspect actual type|Replace as! with as?|Validate input|Test failures|Fix model
Classes & Structs,Value of type 'X' has no member 'Y',You tried to access a property or method that doesn't exist.,Use the correct member or add it.,Typo|Wrong type|Missing extension|API update|Wrong import,Check autocomplete|Inspect type definition|Search project|Fix spelling|Compile
Classes & Structs,Extraneous argument label in call,The function was called with a label it does not accept.,Remove the incorrect label.,API mismatch|Old Swift syntax|Wrong overload|Copy-paste|Autocomplete mistake,Inspect declaration|Fix call syntax|Use autocomplete|Compile|Test
SwiftUI,Cannot convert value of type '()' to expected argument type 'some View',A SwiftUI View builder received no UI element.,Return a View instead of performing an action.,print inside View body|Missing return|Wrong closure|Conditional branch|Debug code,Find the empty branch|Replace actions with views|Move prints outside body|Compile|Preview
SwiftUI,The compiler is unable to type-check this expression in reasonable time,A SwiftUI expression is too complex for the type checker.,Break the view into smaller pieces.,Huge body|Nested modifiers|Complex generics|Many conditionals|Large ViewBuilder,Extract subviews|Add explicit types|Simplify modifiers|Build incrementally|Profile compile time
Build,Signing certificate has expired,The app cannot be signed because credentials are no longer valid.,Renew certificates or refresh signing.,Expired certificate|Old machine|Team changes|Manual signing|Provisioning issue,Open Signing settings|Refresh accounts|Renew certificate|Update profiles|Rebuild
Objective-C,Property 'X' requires method 'Y' to be defined,Objective-C runtime expects an accessor that doesn't exist.,Implement the required getter/setter.,Missing @objc property|Incorrect declaration|KVC usage|Framework requirement|Runtime issue,Check Objective-C exposure|Implement accessor|Review annotations|Compile|Test
